13,14
13,13
15,13
15,14
15,13
17,13
10,14
10,13
12,13
11,14
11,13
13,13
6,14
6,13
8,13
20,9
20,9
22,9
16,14
16,13
18,13
33,14
33,13
35,13
24,14
24,13
26,13
23,9
23,9
25,9
21,10
21,9
23,9
34,14
34,13
36,13
44,14
44,13
46,13
66,14
66,13
68,13
49,14
49,13
51,13
8,14
8,13
10,13
12,14
12,13
14,13
16,14
16,13
18,13
21,14
21,13
23,13
31,14
31,13
33,13
34,14
34,13
36,13
24,14
24,13
26,13
28,12
28,11
30,11
33,14
33,13
35,13
33,14
33,13
35,13
33,14
33,13
35,13
28,12
28,11
30,11
12,14
12,13
14,13
35,14
35,13
37,13
10,14
10,13
12,13
8,14
8,13
10,13
0,14
0,13
2,13
15,14
15,13
17,13
22,10
22,9
24,9
19,14
19,13
21,13
10,14
9,14
9,13
11,13
5,14
4,14
4,13
6,13
9,14
9,14
1,14
22,10
30,12
3,14
23,10
95,6
5,14
3,14
6,14
15,14
24,14
30,12
52,14
58,10
54,14
49,14
47,10
39,11
40,12
41,14
31,14
35,14
72,14
61,14
67,14
53,14
59,10
59,12
59,12
84,6
90,15
105,14
121,14
119,14
123,14
172,10
172,10
172,10
172,10
172,10
171,10
189,6
189,6
192,14
196,14
196,14
197,14
193,14
1,14
9,14
13,14
17,14
12,14
6,14
9,14
11,14
39,11
